Bot Name,Bot Nickname,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot63,"Abdul Kubiak",16,Completed,"Humanitarian Supplies","Zone place_peacemaker_005_N2","1","10:47:21","10:48:32",
Bot63,"Abdul Kubiak",16,Completed,"Humanitarian Supplies","Zone place_peacemaker_005_N1","1","10:48:37","10:54:57",
Bot63,"Abdul Kubiak",16,Failed,"Cargo X - Part 1","Item Toughbook reinforced laptop","1","10:55:02","10:56:05",
Bot62,"Спиридон Шабунин",1,Completed,"Crane Sniping","Crane Sniping: Objective #1","2","10:47:21","10:49:50",
Bot62,"Спиридон Шабунин",1,Failed,"Crane Sniping","Crane Sniping: Objective #2","2","10:49:51","10:50:35",
Bot65,"Damion Bramble",25,Completed,"Lend-Lease - Part 1","Item Motor Controller #3","1","10:47:21","10:49:51",
Bot65,"Damion Bramble",25,Failed,"Lend-Lease - Part 1","Item Single-axis Fiber Optic Gyroscope #2","1","10:49:56","11:03:51",
Bot66,"Денис Шаляпин",14,Failed,"Spa Tour - Part 4","Zone place_peacemaker_008_4_N2","1","10:47:21","10:49:46",
Bot66,"Денис Шаляпин",14,Failed,"Spa Tour - Part 4","Zone place_peacemaker_008_4_N1","1","10:49:51","10:51:43",
Bot66,"Денис Шаляпин",14,Failed,"Signal - Part 1","Zone place_SIGNAL_01_1","1","10:50:11","10:51:43",
Bot66,"Денис Шаляпин",14,Failed,"Signal - Part 1","Zone place_SIGNAL_01_2","1","10:50:31","10:51:43",
Bot67,"Фёдор Колупаев",1,Completed,"Lighthouse Extract Sniper Area Sniping","Lighthouse Extract Sniper Area Sniping: Objective #1","2","10:47:21","10:55:12",
Bot67,"Фёдор Колупаев",1,Completed,"Lighthouse Extract Sniper Area Sniping","Lighthouse Extract Sniper Area Sniping: Objective #2","2","10:55:18","10:58:30",
