Bot Name,Bot Nickname,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot2,"YourSunshine Overbeck",40,Completed,"Boss Hunter","Spawn Point (-4.5 23.9 -58.9)","1","00:55:22","00:56:52",
Bot2,"YourSunshine Overbeck",40,Completed,"Boss Hunter","Spawn Point (46.4 23.3 -101.5)","1","00:56:57","00:57:19",
Bot2,"YourSunshine Overbeck",40,Completed,"Boss Hunter","Spawn Point (57.2 14.1 -31.2)","1","00:57:24","00:57:43",
Bot2,"YourSunshine Overbeck",40,Failed,"Boss Hunter","Spawn Point (72.0 14.1 20.2)","1","00:57:48","00:57:49",
Bot4,"Владислав Катин",14,Completed,"Underground South","Underground South: Objective #2","1","00:55:22","00:56:03",
Bot4,"Владислав Катин",14,Completed,"Underground South","Underground South: Objective #1","1","00:56:09","00:56:20",
Bot4,"Владислав Катин",14,Completed,"Underground South","Underground South: Objective #3","2","00:56:25","00:56:45",
Bot4,"Владислав Катин",14,Completed,"Underground South","Underground South: Objective #4","1","00:56:50","00:57:03",
Bot4,"Владислав Катин",14,Active,"Tarbank Upstairs","Tarbank Upstairs: Objective #4","1","00:57:08","N/A",
Bot5,"Филипп Косоруков",42,Completed,"TerraGroup Office Upstairs","TerraGroup Office Upstairs: Objective #5","1","00:55:22","00:55:26",
Bot5,"Филипп Косоруков",42,Completed,"TerraGroup Office Upstairs","TerraGroup Office Upstairs: Objective #4","1","00:55:31","00:55:52",
Bot5,"Филипп Косоруков",42,Completed,"TerraGroup Office Upstairs","TerraGroup Office Upstairs: Objective #3","1","00:55:57","00:56:10",
Bot5,"Филипп Косоруков",42,Failed,"TerraGroup Office Upstairs","TerraGroup Office Upstairs: Objective #6","1","00:56:15","00:56:26",
Bot5,"Филипп Косоруков",42,Completed,"TerraGroup Office Upstairs","TerraGroup Office Upstairs: Objective #7","1","00:56:31","00:56:47",
Bot5,"Филипп Косоруков",42,Completed,"TerraGroup Office Upstairs","TerraGroup Office Upstairs: Objective #2","1","00:56:52","00:57:02",
Bot5,"Филипп Косоруков",42,Completed,"TerraGroup Office Upstairs","TerraGroup Office Upstairs: Objective #1","1","00:57:07","00:57:11",
Bot5,"Филипп Косоруков",42,Completed,"TerraGroup Office Upstairs","TerraGroup Office Upstairs: Objective #8","1","00:57:16","00:57:25",
Bot5,"Филипп Косоруков",42,Completed,"TerraGroup Office Upstairs","TerraGroup Office Upstairs: Objective #9","1","00:57:30","00:57:42",
Bot5,"Филипп Косоруков",42,Pending,"Saving the Mole","Zone Sandbox_5_Office_exploration","1","00:57:47","N/A",
Bot3,"Wilfred Sternberg",36,Completed,"Boss Hunter","Spawn Point (73.1 14.1 -56.5)","1","00:55:22","00:56:18",
Bot3,"Wilfred Sternberg",36,Completed,"Boss Hunter","Spawn Point (71.8 14.1 0.7)","1","00:56:23","00:56:47",
Bot3,"Wilfred Sternberg",36,Active,"Boss Hunter","Spawn Point (119.2 22.8 -2.7)","1","00:56:53","N/A",
Bot6,"Monty Kallas",20,Completed,"Olive Restaurant","Olive Restaurant: Objective #3","1","00:55:28","00:56:24",
Bot6,"Monty Kallas",20,Completed,"Olive Restaurant","Olive Restaurant: Objective #5","1","00:56:29","00:56:54",
Bot6,"Monty Kallas",20,Active,"Olive Restaurant","Olive Restaurant: Objective #4","1","00:56:59","N/A",
