Bot Name,Bot Nickname,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot19,"Antone Ringo",52,Failed,"3rd Floor Office","3rd Floor Office: Objective #1","1","17:13:56","17:16:01",
Bot23,"Наум Капралов",64,Failed,"Gate 0","Gate 0: Objective #1","2","17:13:56","17:13:56",
Bot23,"Наум Капралов",64,Failed,"Crates Outside of Scav Bunker","Crates Outside of Scav Bunker: Objective #1","1","17:13:57","17:16:15",
Bot20,"Angel Folden",45,Failed,"Crates Outside of Stairwell","Crates Outside of Stairwell: Objective #1","1","17:13:56","17:14:33",
Bot24,"Mary Bonk",65,Failed,"Bathroom Key Spawns","Bathroom Key Spawns: Objective #1","1","17:13:56","17:16:41",
Bot21,"Adam Stoughton",38,Failed,"Pumping Station Roof","Pumping Station Roof: Objective #1","1","17:13:56","17:17:08",
Bot22,"Карл Набатов",40,Failed,"Crates Outside of Gate 3","Crates Outside of Gate 3: Objective #1","1","17:13:56","17:14:01",
Bot35,"Пров Соломон (Murray)",1,Completed,"Weapon Crate in Workshop","Weapon Crate in Workshop: Objective #1","1","17:17:30","17:17:34",
Bot35,"Пров Соломон (Murray)",1,Pending,"Med Tent","Med Tent: Objective #1","1","17:17:39","N/A",
