Bot Name,Bot Nickname,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot130,"Hung Pichardo",41,Failed,"Big Red Rush","Big Red Rush: Objective #1","1","19:14:41","19:17:33",
Bot131,"Johnson Calles",36,Pending,"Boss Hunter","Spawn Point (-157.7 1.6 -190.8)","1","19:14:41","N/A",
Bot133,"Иосиф Веденин",34,Pending,"The Cult - Part 2","Zone place_peacemaker_007_N1","1","19:14:41","N/A",
Bot132,"Виталлий Блоков",60,Pending,"Marked Room Rush","Marked Room Rush: Objective #1","1","19:14:41","N/A",
Bot136,"Adolph Gastelum",40,Failed,"Wanderer","Zone bomj_place","1","19:14:51","19:16:42",
Bot137,"Elton Poorman",68,Failed,"The Courier","Zone mech_41_1","1","19:14:55","19:15:05",
Bot138,"Cody Lesley",30,Pending,"Short Cut","Short Cut: Objective #1","1","19:14:57","N/A",
Bot139,"Domenic Lutes",42,Failed,"Power Switch","Power Switch: Objective #1","1","19:14:59","19:20:42",
Bot165,"Кондратий Окурок (Louis)",1,Pending,"Giving Tree","Giving Tree: Objective #1","1","19:22:12","N/A",
Bot188,"Витя РХБЗ (Theodore)",1,Pending,"Repair Shop","Repair Shop: Objective #8","1","19:29:40","N/A",
Bot192,"Анатолий Летёха (Филипп)",1,Pending,"Factory Shacks","Factory Shacks: Objective #1","1","19:30:37","N/A",
Bot193,"Порфирий Шпингалет (Иосиф)",1,Pending,"Dorms 2 Story","Dorms 2 Story: Objective #9","1","19:30:37","N/A",
Bot206,"Тихон Кореец (Cory)",1,Pending,"Factory Shacks","Factory Shacks: Objective #1","1","19:34:02","N/A",
Bot208,"Вантуз Менеджер (Фёдор)",1,Failed,"New Gas","New Gas: Objective #1","1","19:34:06","19:35:39",
Bot212,"Кирилл Тайчин (Julio)",1,Pending,"New Gas","New Gas: Objective #3","1","19:34:35","N/A",
Bot213,"Савелий Дряхлый (Man)",1,Pending,"New Gas","New Gas: Objective #3","1","19:34:35","N/A",
Bot219,"Эльдар Шнырь (Elmer)",1,Pending,"Fortress","Fortress: Objective #3","1","19:37:01","N/A",
Bot222,"Сава Скрипка (Chester)",1,Pending,"Warehouse 17","Warehouse 17: Objective #1","1","19:37:51","N/A",
