Bot Name,Bot Nickname,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot1,"Иннокентий Чупров",44,Failed,"Boss Hunter","Spawn Point (-140.2 -7.0 -35.5)","1","14:54:31","14:55:23",
Bot1,"Иннокентий Чупров",44,Failed,"Boss Hunter","Spawn Point (-149.9 -6.2 -10.4)","1","14:55:28","14:55:28",
Bot1,"Иннокентий Чупров",44,Failed,"Boss Hunter","Spawn Point (-154.1 -6.2 -9.2)","1","14:55:33","14:55:33",
Bot1,"Иннокентий Чупров",44,Failed,"Boss Hunter","Spawn Point (-118.6 -6.9 -3.0)","1","14:55:38","14:55:38",
Bot1,"Иннокентий Чупров",44,Failed,"Boss Hunter","Spawn Point (-163.1 -6.2 -6.8)","1","14:55:44","14:55:44",
Bot1,"Иннокентий Чупров",44,Failed,"Boss Hunter","Spawn Point (-94.9 -14.8 3.4)","1","14:55:49","14:55:49",
Bot1,"Иннокентий Чупров",44,Failed,"Boss Hunter","Spawn Point (-174.1 -6.9 1.2)","1","14:55:54","14:55:54",
Bot1,"Иннокентий Чупров",44,Failed,"Boss Hunter","Spawn Point (-90.4 -14.5 14.5)","1","14:55:59","14:55:59",
Bot2,"Станислав Полтанов",45,Pending,"Pest Control","Zone eger_barracks_area_2","1","14:54:31","N/A",
Bot2,"Станислав Полтанов",45,Pending,"Pest Control","Zone eger_barracks_area_1","1","14:59:33","N/A",
Bot2,"Станислав Полтанов",45,Active,"Black Pawn","Black Pawn: Objective #4","1","15:00:42","N/A",
Bot3,"Harry Freudenburg",38,Pending,"Snatch","Item Lightkeeper intelligence","1","14:54:31","N/A",
Bot3,"Harry Freudenburg",38,Pending,"Snatch","Zone tadeush_bmp2_area_mark_12","1","14:56:21","N/A",
Bot3,"Harry Freudenburg",38,Pending,"White Knight Roof","White Knight Roof: Objective #6","1","14:56:41","N/A",
Bot3,"Harry Freudenburg",38,Pending,"White Knight Roof","White Knight Roof: Objective #4","1","14:58:31","N/A",
Bot3,"Harry Freudenburg",38,Pending,"White Knight Roof","White Knight Roof: Objective #1","1","14:58:53","N/A",
Bot3,"Harry Freudenburg",38,Pending,"White Knight Roof","White Knight Roof: Objective #5","1","14:59:13","N/A",
Bot3,"Harry Freudenburg",38,Active,"White Knight Roof","White Knight Roof: Objective #3","2","14:59:33","N/A",
Bot5,"Всеслав Кедров",43,Failed,"Documents","Item Military documents #2","1","14:54:35","14:55:09",
Bot6,"Пантелей Аникин",30,Failed,"Inventory Check","Zone baraholshik_arsenal_area_5","1","14:54:35","14:55:42",
Bot6,"Пантелей Аникин",30,Completed,"Inventory Check","Zone baraholshik_arsenal_area_4","1","14:55:47","14:55:52",
Bot6,"Пантелей Аникин",30,Active,"Inventory Check","Zone baraholshik_dejurniy_area_2","1","14:55:57","N/A",
Bot12,"Аскольд Унгерн",44,Pending,"Reserve","Zone huntsman_029","1","14:54:45","N/A",
Bot12,"Аскольд Унгерн",44,Failed,"Hermetic Depot","Hermetic Depot: Objective #8","1","14:55:59","14:56:23",
Bot12,"Аскольд Унгерн",44,Completed,"Hermetic Depot","Hermetic Depot: Objective #4","1","14:56:28","14:57:11",
Bot12,"Аскольд Унгерн",44,Pending,"Hermetic Depot","Hermetic Depot: Objective #7","1","14:57:16","N/A",
Bot12,"Аскольд Унгерн",44,Pending,"Hermetic Depot","Hermetic Depot: Objective #5","1","14:59:35","N/A",
Bot12,"Аскольд Унгерн",44,Active,"Hermetic Depot","Hermetic Depot: Objective #2","1","14:59:55","N/A",
