Bot Name,Bot Nickname,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot15,"Кондратий Былинкин",40,Completed,"Boss Hunter","Spawn Point (-108.5 10.1 -609.9)","1","01:06:28","01:07:11",
Bot15,"Кондратий Былинкин",40,Completed,"Boss Hunter","Spawn Point (-171.7 14.8 -617.7)","1","01:07:16","01:07:27",
Bot15,"Кондратий Былинкин",40,Failed,"Boss Hunter","Spawn Point (-174.5 9.4 -713.9)","1","01:07:32","01:09:45",
Bot17,"Santiago Parra",30,Completed,"The Blood of War - Part 3","Zone bar_fuel3_1","1","01:06:28","01:08:36",
Bot17,"Santiago Parra",30,Active,"The Blood of War - Part 3","Zone bar_fuel3_3","1","01:08:41","N/A",
Bot18,"Lee Tupper",31,Failed,"The Blood of War - Part 3","Zone bar_fuel3_1","1","01:06:28","01:06:47",
Bot16,"Тимур Серебров",30,Failed,"Boss Hunter","Spawn Point (-140.8 61.5 -206.8)","1","01:06:28","01:07:50",
Bot16,"Тимур Серебров",30,Completed,"Boss Hunter","Spawn Point (-63.8 19.2 -233.0)","1","01:07:55","01:08:20",
Bot16,"Тимур Серебров",30,Completed,"Boss Hunter","Spawn Point (-12.3 13.8 -229.3)","1","01:08:25","01:08:37",
Bot16,"Тимур Серебров",30,Completed,"Boss Hunter","Spawn Point (25.6 11.3 -226.6)","1","01:08:42","01:08:54",
Bot16,"Тимур Серебров",30,Completed,"Boss Hunter","Spawn Point (72.9 11.9 -220.5)","1","01:08:59","01:09:12",
Bot16,"Тимур Серебров",30,Completed,"Boss Hunter","Spawn Point (102.6 7.2 -152.2)","1","01:09:17","01:09:49",
Bot16,"Тимур Серебров",30,Completed,"Boss Hunter","Spawn Point (125.9 0.3 4.9)","1","01:09:54","01:10:33",
Bot16,"Тимур Серебров",30,Completed,"Boss Hunter","Spawn Point (87.8 -15.9 114.7)","1","01:10:38","01:11:27",
Bot16,"Тимур Серебров",30,Completed,"Boss Hunter","Spawn Point (135.1 8.5 -174.2)","1","01:11:32","01:14:13",
Bot16,"Тимур Серебров",30,Failed,"The Cult - Part 2","Zone place_peacemaker_007_2_N2","1","01:14:18","01:16:37",
Bot21,"Пахом Ивашов",20,Completed,"The Cult - Part 2","Zone place_peacemaker_007_2_N2","1","01:06:32","01:09:19",
Bot21,"Пахом Ивашов",20,Failed,"The Cult - Part 2","Zone place_peacemaker_007_2_N2_1","1","01:09:24","01:11:20",
Bot22,"Наум Магомедов",40,Completed,"Sunken Village","Sunken Village: Objective #1","1","01:06:32","01:06:57",
Bot22,"Наум Магомедов",40,Completed,"Sunken Village","Sunken Village: Objective #3","1","01:07:02","01:08:04",
Bot22,"Наум Магомедов",40,Completed,"Sunken Village","Sunken Village: Objective #2","1","01:08:10","01:10:34",
Bot22,"Наум Магомедов",40,Completed,"Boss Hunter","Spawn Point (-130.0 9.6 -726.5)","1","01:10:39","01:10:49",
Bot22,"Наум Магомедов",40,Completed,"Boss Hunter","Spawn Point (-56.0 7.6 -759.4)","1","01:10:54","01:11:14",
Bot22,"Наум Магомедов",40,Completed,"Boss Hunter","Spawn Point (-6.4 11.0 -786.4)","1","01:11:19","01:11:37",
Bot22,"Наум Магомедов",40,Completed,"Boss Hunter","Spawn Point (-52.2 7.9 -763.9)","1","01:11:42","01:11:56",
Bot22,"Наум Магомедов",40,Completed,"Boss Hunter","Spawn Point (2.8 14.8 -777.3)","1","01:12:01","01:12:15",
Bot22,"Наум Магомедов",40,Completed,"Boss Hunter","Spawn Point (-86.9 7.9 -752.7)","1","01:12:20","01:12:53",
Bot22,"Наум Магомедов",40,Completed,"Boss Hunter","Spawn Point (-23.7 9.1 -779.8)","1","01:12:58","01:13:10",
Bot22,"Наум Магомедов",40,Completed,"Boss Hunter","Spawn Point (-117.6 11.9 -729.4)","1","01:13:15","01:13:39",
