Bot Name,Bot Nickname,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot2,"Виктор Тарновецкий",37,Failed,"Boss Hunter","Spawn Point (-4.5 23.9 -58.9)","1","23:38:49","23:40:27",
Bot4,"Pat Humphreys",2,Failed,"Luxurious Life","Item Bottle of Le Jean wine","1","23:38:49","23:41:16",
Bot5,"Spencer Arden",45,Pending,"Boss Hunter","Spawn Point (180.9 16.3 114.9)","1","23:38:50","N/A",
Bot3,"Emerson Kunze",39,Failed,"First in Line","Zone Sandbox_1_MedicalArea_exploration","1","23:38:50","23:43:52",
Bot6,"Прохор Логинов",41,Pending,"Saving the Mole","Zone Sandbox_5_Office_exploration","1","23:38:50","N/A",
Bot7,"Натан Шпикалов",13,Failed,"Saving the Mole","Zone Sandbox_5_Office_exploration","1","23:38:50","23:45:27",
Bot8,"Даниил Воскобойников",16,Failed,"TerraGroup Office","TerraGroup Office: Objective #6","1","23:38:50","23:49:42",
Bot9,"Эдуард Алеев",36,Pending,"Shooting Cans","Zone Sandbox_2_AGS_exploration","1","23:38:50","N/A",
