Bot Name,Bot Nickname,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot67,"Glen Lynde",21,Pending,"Humanitarian Supplies","Zone place_peacemaker_005_N2","1","16:51:02","N/A",
Bot69,"Lucius Brumback",24,Pending,"Wet Job - Part 4","Item Sliderkey Flash drive","1","16:51:02","N/A",
Bot68,"Ярослав Крюков",32,Pending,"Health Care Privacy - Part 1","Zone ter_013_area_3","1","16:51:02","N/A",
Bot70,"Эдуард Лимонов",68,Failed,"Power Station Sniping","Power Station Sniping: Objective #3","1","16:51:02","16:57:31",
Bot72,"Назар Сычёв",11,Pending,"Cabins","Cabins: Objective #1","1","16:51:03","N/A",
Bot71,"Глеб Горюнов",40,Pending,"Health Care Privacy - Part 1","Zone ter_013_area_2","1","16:51:03","N/A",
Bot76,"Никита Коняшов",22,Failed,"Colleagues - Part 2","Item Surgery kit marked with a blue symbol","1","16:51:10","16:58:43",
Bot78,"Micheal Edick",38,Failed,"Courtesy Visit","Zone huntsman_024_1","1","16:51:22","16:56:20",
Bot123,"Макс Бибис (Carmen)",1,Pending,"Helicoperter Shack","Helicoperter Shack: Objective #1","1","17:05:33","N/A",
Bot130,"Найк Петросян (Ростислав)",1,Failed,"Pier","Pier: Objective #3","1","17:06:57","17:16:52",
Bot155,"Пахан Зверь (Cody)",1,Pending,"Radio Tower","Radio Tower: Objective #1","1","17:20:42","N/A",
