Bot Name,Bot Nickname,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot53,"Mckinley Vanarsdale",40,Pending,"1st Floor Office","1st Floor Office: Objective #1","1","17:42:51","N/A",
Bot52,"Hiram Livingstone",43,Pending,"3rd Floor Office","3rd Floor Office: Objective #1","1","17:42:51","N/A",
Bot54,"Garry Monreal",38,Active,"Crates Outside of Stairwell","Crates Outside of Stairwell: Objective #1","1","17:42:51","N/A",
Bot55,"Brian Wass",19,Completed,"Farming - Part 1","Zone place_SADOVOD_01_2","2","17:42:51","17:43:25",
Bot55,"Brian Wass",19,Completed,"Farming - Part 1","Zone place_SADOVOD_01_1","2","17:43:30","17:44:00",
Bot56,"Стас Ёлкин",26,Active,"Chemical - Part 3","Item Syringe with a chemical","1","17:42:51","N/A",
Bot60,"Buster Desantiago",39,Active,"Crates Near Lower Platform","Crates Near Lower Platform: Objective #1","1","17:42:56","N/A",
