Bot Name,Bot Nickname,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot38,"Stefan Ybanez",45,Pending,"The Huntsman Path - Administrator","Zone quest_zone_kill_c17_adm","1","00:04:40","N/A",
Bot39,"Michael Smothers",31,Failed,"Broadcast - Part 3","Zone quest_zone_c25_cinem2","1","00:04:40","00:07:04",
Bot40,"Доброслав Саитов",43,Failed,"House Arrest - Part 2","Zone quest_zone_c8_dom2","1","00:04:40","00:38:22",
Bot43,"Сергей Аверин",58,Failed,"IT Firm Office","IT Firm Office: Objective #7","1","00:04:41","00:14:44",
Bot41,"Mason Dail",64,Failed,"House Arrest - Part 1","Zone quest_zone_c8_dom1","1","00:04:41","00:10:51",
Bot42,"Daren Massey",45,Failed,"Glory to CPSU - Part 2","Zone quest_zone_find_2st_kpss2","1","00:04:41","00:13:57",
Bot44,"Edison Gilfillan",35,Failed,"Pyramid Scheme","Zone Bank_points_1","1","00:04:52","00:07:01",
Bot45,"Eric Tynes",65,Failed,"Information Source","Zone quest_zone_place_c24_tigr2","1","00:05:08","00:06:23",
Bot46,"Hershel Groat",53,Failed,"Broadcast - Part 5","Zone quest_zone_hide_2st_mech","1","00:05:21","00:20:14",
Bot80,"Вадик Герой (Esteban)",1,Pending,"Bilbo Coffee","Bilbo Coffee: Objective #3","1","00:17:01","N/A",
Bot89,"Зураб Корявый (Basil)",1,Pending,"IT Firm Office","IT Firm Office: Objective #3","1","00:19:50","N/A",
Bot94,"Алекс Вантуз (Daryl)",1,Pending,"Lexos South Entry","Lexos South Entry: Objective #1","1","00:20:48","N/A",
Bot95,"Авдей Рама (Kendrick)",1,Pending,"Concordia Apartment 8","Concordia Apartment 8: Objective #1","1","00:20:49","N/A",
Bot100,"Илюша Неудачник (Milan)",1,Pending,"Lexos North Entry","Lexos North Entry: Objective #1","1","00:21:55","N/A",
Bot108,"Тёма Тридемакс (Степан)",1,Pending,"Nikitskaya 6","Nikitskaya 6: Objective #4","1","00:23:56","N/A",
Bot115,"Максим Хохол (Luciano)",1,Pending,"Lexos Offices","Lexos Offices: Objective #4","1","00:25:43","N/A",
Bot117,"Сильвестр Ветчина (Carlos)",1,Pending,"Anteka","Anteka: Objective #3","1","00:26:16","N/A",
Bot119,"Сергей Петух (Jackson)",1,Pending,"Beluga","Beluga: Objective #2","1","00:26:51","N/A",
Bot126,"Сява Беспредельщик (Britt)",1,Pending,"School","School: Objective #5","1","00:28:45","N/A",
Bot129,"Кэл Ихтиандр (Hershel)",1,Pending,"Beluga","Beluga: Objective #3","1","00:29:30","N/A",
Bot132,"Павел Пупкин (Кирилл)",1,Pending,"Nikitskaya 6","Nikitskaya 6: Objective #2","1","00:29:56","N/A",
Bot133,"Фома Новгородский (Антип)",1,Pending,"Nikitskaya 6","Nikitskaya 6: Objective #4","1","00:29:58","N/A",
Bot139,"Димон Заяц (Randal)",1,Pending,"IT Firm Office","IT Firm Office: Objective #7","1","00:31:40","N/A",
Bot149,"Созон Трехсотый (Duncan)",1,Pending,"Terragroup Building","Terragroup Building: Objective #2","1","00:33:53","N/A",
Bot156,"Карлуша Киба (Doyle)",1,Pending,"Ministry of the Interior Academy","Ministry of the Interior Academy: Objective #4","1","00:34:58","N/A",
Bot155,"Савелий Баклажан (Christoper)",1,Pending,"Primorksy 46","Primorksy 46: Objective #6","1","00:34:58","N/A",
Bot159,"Слава Новогодний (Demarcus)",1,Pending,"Nikitskaya 6","Nikitskaya 6: Objective #4","1","00:36:10","N/A",
Bot160,"Виктор Татарин (Renaldo)",1,Pending,"Mall Storage and Construction","Mall Storage and Construction: Objective #1","1","00:36:14","N/A",
Bot162,"Ботир Гудинщик (Brooks)",1,Pending,"Building across from Brodian Pub","Building across from Brodian Pub: Objective #2","1","00:36:16","N/A",
Bot163,"Кабан Стакан (Jewell)",1,Pending,"Sparja","Sparja: Objective #1","1","00:36:19","N/A",
Bot170,"Самуил Годзилыч (Gerry)",1,Pending,"Brodian Pub","Brodian Pub: Objective #1","1","00:39:01","N/A",
Bot169,"Фаддей Базай (Mark)",1,Pending,"Primorksy 46","Primorksy 46: Objective #4","1","00:39:01","N/A",
Bot172,"Филат Фикус (Carey)",1,Pending,"Pharmancy #2","Pharmancy #2: Objective #2","1","00:39:02","N/A",
Bot175,"Феликс Денди (Кирилл)",1,Pending,"Pinewood Hotel Dentist","Pinewood Hotel Dentist: Objective #2","1","00:39:23","N/A",
Bot180,"Аристарх РХБЗ (Sonny)",1,Pending,"Pinewood Hotel Dentist","Pinewood Hotel Dentist: Objective #5","1","00:41:31","N/A",
Bot183,"Зураб Бокс (Hosea)",1,Pending,"Primorksy 46","Primorksy 46: Objective #4","1","00:41:35","N/A",
Bot186,"Феоктист Полторашка (Teddy)",1,Pending,"Primorksy 46","Primorksy 46: Objective #8","1","00:41:50","N/A",
Bot187,"Корнелий Пуэрщик (Douglas)",1,Pending,"IT Firm Office","IT Firm Office: Objective #3","1","00:42:18","N/A",
Bot189,"Петр Морковник (Carmen)",1,Pending,"Concordia Goshan","Concordia Goshan: Objective #1","1","00:42:33","N/A",
Bot188,"Шурик Крокодил (Ростислав)",1,Pending,"Concordia Basement","Concordia Basement: Objective #2","1","00:42:33","N/A",
Bot190,"Макс Шпала (Micheal)",1,Pending,"Post Office","Post Office: Objective #3","1","00:42:34","N/A",
Bot192,"Вантуз Овальный (Barry)",1,Pending,"Lexos Garage","Lexos Garage: Objective #4","1","00:42:38","N/A",
