Bot Name,Bot Nickname,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot16,"Clifton Brisson",36,Completed,"Tarbank Upstairs","Tarbank Upstairs: Objective #1","1","23:47:26","23:48:52",
Bot16,"Clifton Brisson",36,Completed,"Tarbank Upstairs","Tarbank Upstairs: Objective #3","3","23:48:57","23:50:03",
Bot16,"Clifton Brisson",36,Failed,"Tarbank Upstairs","Tarbank Upstairs: Objective #4","3","23:50:08","00:08:00",
Bot16,"Clifton Brisson",36,Completed,"Tarbank Upstairs","Tarbank Upstairs: Objective #2","1","23:51:47","23:51:47",
Bot16,"Clifton Brisson",36,Failed,"Shooting Cans","Zone Sandbox_2_Kord_exploration","1","23:51:52","00:08:00",
Bot17,"Михаил Лощилов",39,Completed,"Emercom Checkpoint","Emercom Checkpoint: Objective #1","1","23:47:27","23:47:30",
Bot17,"Михаил Лощилов",39,Completed,"Emercom Checkpoint","Emercom Checkpoint: Objective #2","2","23:47:35","23:50:11",
Bot17,"Михаил Лощилов",39,Completed,"First in Line","Zone Sandbox_1_MedicalArea_exploration","1","23:50:16","23:50:22",
Bot17,"Михаил Лощилов",39,Completed,"Boss Hunter","Spawn Point (73.1 14.1 -56.5)","1","23:50:27","23:51:24",
Bot17,"Михаил Лощилов",39,Completed,"Boss Hunter","Spawn Point (96.3 22.9 -85.2)","1","23:51:29","23:53:26",
Bot17,"Михаил Лощилов",39,Failed,"Boss Hunter","Spawn Point (142.9 22.7 -67.6)","1","23:53:32","23:54:16",
Bot18,"Geoffrey Morelli",35,Completed,"First in Line","Zone Sandbox_1_MedicalArea_exploration","1","23:47:27","23:47:54",
Bot18,"Geoffrey Morelli",35,Failed,"Boss Hunter","Spawn Point (185.0 17.2 -8.6)","1","23:47:59","00:13:11",
Bot18,"Geoffrey Morelli",35,Failed,"Boss Hunter","Spawn Point (122.4 22.8 -4.2)","1","23:49:50","00:13:11",
Bot19,"Казимир Смирнитский",39,Completed,"Saving the Mole","Zone Sandbox_5_Laborant_exploration","1","23:47:27","23:47:33",
Bot19,"Казимир Смирнитский",39,Failed,"Saving the Mole","Zone Sandbox_5_Office_exploration","1","23:47:38","23:48:01",
Bot19,"Казимир Смирнитский",39,Completed,"Saving the Mole","Item TerraGroup scientist's hard drive","1","23:48:06","23:48:45",
Bot19,"Казимир Смирнитский",39,Completed,"Saving the Mole","Zone Sandbox_5_DeadGroup_exploration","1","23:48:50","23:49:12",
Bot19,"Казимир Смирнитский",39,Completed,"TerraGroup Office Upstairs","TerraGroup Office Upstairs: Objective #9","1","23:49:17","23:50:08",
Bot19,"Казимир Смирнитский",39,Completed,"TerraGroup Office Upstairs","TerraGroup Office Upstairs: Objective #8","1","23:50:14","23:50:41",
Bot19,"Казимир Смирнитский",39,Completed,"TerraGroup Office Upstairs","TerraGroup Office Upstairs: Objective #7","1","23:50:46","23:50:57",
Bot19,"Казимир Смирнитский",39,Completed,"TerraGroup Office Upstairs","TerraGroup Office Upstairs: Objective #6","1","23:51:02","23:51:20",
Bot19,"Казимир Смирнитский",39,Completed,"TerraGroup Office Upstairs","TerraGroup Office Upstairs: Objective #3","1","23:51:25","23:51:39",
Bot19,"Казимир Смирнитский",39,Completed,"TerraGroup Office Upstairs","TerraGroup Office Upstairs: Objective #4","1","23:51:44","23:51:56",
Bot19,"Казимир Смирнитский",39,Completed,"TerraGroup Office Upstairs","TerraGroup Office Upstairs: Objective #2","1","23:52:01","23:52:18",
Bot19,"Казимир Смирнитский",39,Completed,"TerraGroup Office Upstairs","TerraGroup Office Upstairs: Objective #1","1","23:52:23","23:52:47",
Bot19,"Казимир Смирнитский",39,Completed,"TerraGroup Office Upstairs","TerraGroup Office Upstairs: Objective #5","1","23:52:52","23:53:12",
Bot19,"Казимир Смирнитский",39,Failed,"TerraGroup Lawn","TerraGroup Lawn: Objective #1","1","23:53:17","00:01:20",
Bot19,"Казимир Смирнитский",39,Failed,"TerraGroup Lawn","TerraGroup Lawn: Objective #3","1","23:54:55","23:54:55",
Bot19,"Казимир Смирнитский",39,Failed,"TerraGroup Lawn","TerraGroup Lawn: Objective #2","1","23:55:00","00:01:20",
Bot19,"Казимир Смирнитский",39,Failed,"Tarbank Upstairs","Tarbank Upstairs: Objective #1","1","23:57:24","00:01:20",
Bot21,"Lucas Bratton",11,Failed,"Shooting Cans","Zone Sandbox_2_AGS_exploration","1","23:47:27","23:48:04",
Bot20,"Joaquin Sasser",40,Completed,"Shooting Cans","Zone Sandbox_2_AGS_exploration","1","23:47:27","23:47:52",
Bot20,"Joaquin Sasser",40,Failed,"Shooting Cans","Zone Sandbox_2_Kord_exploration","1","23:47:57","23:50:19",
Bot25,"Mel Dedeaux",52,Failed,"Capital Insight","Capital Insight: Objective #5","1","23:47:45","23:48:28",
Bot31,"Sal Harrigan",35,Failed,"Shooting Cans","Zone Sandbox_2_Kord_exploration","1","23:52:55","23:55:05",
Bot31,"Sal Harrigan",35,Failed,"Shooting Cans","Zone Sandbox_2_AGS_exploration","1","23:55:10","23:55:11",
Bot31,"Sal Harrigan",35,Failed,"Saving the Mole","Item TerraGroup scientist's hard drive","1","23:55:16","23:57:56",
Bot32,"Edmund Hummer",43,Failed,"Underground North","Underground North: Objective #5","1","23:52:55","23:54:10",
Bot39,"Courtney Jeske",14,Failed,"Shooting Cans","Zone Sandbox_2_Kord_exploration","1","23:54:19","23:54:37",
Bot40,"Garland Rosemond",32,Completed,"Shooting Cans","Zone Sandbox_2_AGS_exploration","1","23:55:07","23:55:33",
Bot40,"Garland Rosemond",32,Failed,"Shooting Cans","Zone Sandbox_2_Kord_exploration","1","23:55:38","00:00:54",
Bot49,"Герасим Медведков",16,Completed,"Kyshperski","Kyshperski: Objective #3","1","23:58:40","23:59:04",
Bot49,"Герасим Медведков",16,Completed,"Kyshperski","Kyshperski: Objective #4","2","23:59:09","00:00:32",
Bot49,"Герасим Медведков",16,Completed,"Kyshperski","Kyshperski: Objective #1","1","00:00:37","00:00:51",
Bot49,"Герасим Медведков",16,Completed,"Kyshperski","Kyshperski: Objective #2","1","00:00:57","00:01:10",
Bot49,"Герасим Медведков",16,Failed,"Tarbank Upstairs","Tarbank Upstairs: Objective #4","1","00:01:15","00:06:29",
Bot49,"Герасим Медведков",16,Failed,"Tarbank Upstairs","Tarbank Upstairs: Objective #2","1","00:04:40","00:06:29",
Bot50,"Игнатий Улицкий",26,Completed,"Shooting Cans","Zone Sandbox_2_Kord_exploration","1","23:59:57","00:00:02",
Bot50,"Игнатий Улицкий",26,Completed,"Shooting Cans","Zone Sandbox_2_AGS_exploration","1","00:00:07","00:01:58",
Bot50,"Игнатий Улицкий",26,Completed,"Capital Insight","Capital Insight: Objective #4","4","00:02:03","00:05:47",
Bot50,"Игнатий Улицкий",26,Failed,"Capital Insight","Capital Insight: Objective #5","1","00:05:52","00:06:06",
Bot54,"Stefan Force",40,Failed,"Capital Insight Cafe Camping","Capital Insight Cafe Camping: Objective #1","1","00:02:48","00:10:53",
Bot54,"Stefan Force",40,Failed,"Tarbank Upstairs","Tarbank Upstairs: Objective #2","1","00:03:03","00:10:53",
Bot55,"Mason Coppola",19,Failed,"Shooting Cans","Zone Sandbox_2_AGS_exploration","1","00:02:48","00:11:27",
Bot59,"Darryl Mclain",29,Failed,"Supplies Near VEX","Supplies Near VEX: Objective #1","1","00:04:05","00:14:57",
Bot59,"Darryl Mclain",29,Failed,"Tarbank Upstairs","Tarbank Upstairs: Objective #1","1","00:05:07","00:14:57",
