Bot Name,Bot Nickname,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot3,"Owen Rueter",27,Pending,"Farming - Part 1","Zone place_SADOVOD_01_1","1","20:56:29","N/A",
Bot2,"Herb Scroggins",25,Active,"Scout","Zone place_pacemaker_SCOUT_01","1","20:56:29","N/A",
Bot1,"Всеслав Костомаров",37,Completed,"Break Room","Break Room: Objective #1","1","20:56:29","20:57:23",
Bot1,"Всеслав Костомаров",37,Pending,"3rd Floor Office Rush","3rd Floor Office Rush: Objective #1","1","20:57:28","N/A",
Bot4,"Charlie Aquilar",1,Completed,"Spawn Rush","Spawn Rush: Objective #1","1","20:56:29","20:56:52",
Bot4,"Charlie Aquilar",1,Active,"Basement Crates","Basement Crates: Objective #1","1","20:56:57","N/A",
Bot10,"Dominick Aiello",67,Pending,"Crates Outside of Stairwell","Crates Outside of Stairwell: Objective #1","1","20:56:30","N/A",
Bot9,"Alvin Bernhard",23,Active,"Farming - Part 1","Zone place_SADOVOD_01_2","1","20:56:30","N/A",
