Bot Name,Bot Nickname,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot2,"Kristopher Manthey",60,Completed,"Dome Buildings","Dome Buildings: Objective #1","3","15:52:54","15:54:26",
Bot2,"Kristopher Manthey",60,Failed,"Dome Buildings","Dome Buildings: Objective #2","1","15:54:31","15:56:50",
Bot1,"Coleman Oren",38,Completed,"Pest Control","Zone eger_barracks_area_2","1","15:52:54","15:55:37",
Bot1,"Coleman Oren",38,Completed,"Pest Control","Zone eger_barracks_area_1","1","15:55:43","15:56:42",
Bot1,"Coleman Oren",38,Failed,"Documents","Item Military documents #2","1","15:56:48","15:57:56",
Bot3,"Захар Шишкин",39,Completed,"Train Yard Bunker Entrance","Train Yard Bunker Entrance: Objective #2","1","15:52:54","15:53:21",
Bot3,"Захар Шишкин",39,Pending,"Reserve","Zone huntsman_029","1","15:53:26","N/A",
Bot3,"Захар Шишкин",39,Failed,"Snatch","Zone tadeush_bmp2_area_mark_12","1","15:54:14","15:54:14",
Bot3,"Захар Шишкин",39,Pending,"Snatch","Item Lightkeeper intelligence","1","15:54:15","N/A",
Bot3,"Захар Шишкин",39,Completed,"White King","White King: Objective #6","1","15:56:04","15:58:27",
Bot3,"Захар Шишкин",39,Pending,"White King","White King: Objective #5","1","15:58:32","N/A",
Bot4,"Карл Курчин",48,Completed,"Hermetic","Hermetic: Objective #4","1","15:52:54","15:53:15",
Bot4,"Карл Курчин",48,Completed,"Hermetic","Hermetic: Objective #3","1","15:53:20","15:53:37",
Bot4,"Карл Курчин",48,Completed,"Hermetic","Hermetic: Objective #1","1","15:53:42","15:54:13",
Bot4,"Карл Курчин",48,Completed,"Hermetic","Hermetic: Objective #2","1","15:54:18","15:54:39",
Bot4,"Карл Курчин",48,Pending,"Boss Hunter","Spawn Point (23.5 -5.1 -128.3)","1","15:54:44","N/A",
Bot4,"Карл Курчин",48,Active,"Boss Hunter","Spawn Point (-6.0 -7.0 -180.0)","1","15:56:13","N/A",
Bot8,"Jarvis Rathbone",39,Active,"Pest Control","Zone eger_barracks_area_1","1","15:53:04","N/A",
Bot9,"Kendall Poe",42,Failed,"Dome Buildings","Dome Buildings: Objective #1","1","15:53:07","15:56:47",
Bot12,"Marquis Scofield",45,Completed,"White Rook","White Rook: Objective #2","1","15:53:11","15:53:24",
Bot12,"Marquis Scofield",45,Failed,"White Rook","White Rook: Objective #4","1","15:53:29","15:54:17",
Bot15,"Захар Барышников",60,Completed,"White Rook Barracks","White Rook Barracks: Objective #1","1","15:53:15","15:55:28",
Bot15,"Захар Барышников",60,Completed,"White Rook Barracks","White Rook Barracks: Objective #2","1","15:55:33","15:55:41",
Bot15,"Захар Барышников",60,Pending,"White Rook Barracks","White Rook Barracks: Objective #3","1","15:55:47","N/A",
Bot15,"Захар Барышников",60,Active,"Snatch","Zone tadeush_bmp2_area_mark_12","1","15:56:29","N/A",
