Bot Name,Bot Nickname,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot54,"Христофор Хлебников",31,Failed,"Big Red Rush","Big Red Rush: Objective #1","1","20:36:10","20:37:22",
Bot56,"Palmer Mullens",47,Pending,"Boss Hunter","Spawn Point (-335.6 0.3 -159.7)","1","20:36:10","N/A",
Bot55,"Vernon Dana",67,Pending,"South Shack by Big Red","South Shack by Big Red: Objective #1","1","20:36:10","N/A",
Bot58,"Markus Tarin",39,Failed,"Chumming","Zone place_skier_12_2","1","20:36:10","20:45:56",
Bot57,"Guy Lemieux",38,Pending,"Crackhouse Rush","Crackhouse Rush: Objective #1","1","20:36:10","N/A",
Bot59,"Ефим Астахов",31,Failed,"Bullshit","Zone Q019_3","1","20:36:10","20:42:00",
Bot60,"Антип Князев",28,Pending,"Dorms 2 Story Rush","Dorms 2 Story Rush: Objective #1","1","20:36:10","N/A",
Bot62,"Григорий Антаков",66,Pending,"Repair Shop","Repair Shop: Objective #8","1","20:36:32","N/A",
Bot63,"Данила Науменко",31,Pending,"Checkpoint","Checkpoint: Objective #2","1","20:36:33","N/A",
Bot80,"Колян Кожаный (Jonah)",1,Pending,"Big Red","Big Red: Objective #4","1","20:45:58","N/A",
