Bot Name,Bot Nickname,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot95,"Вениамин Ёжиков",34,Failed,"Underground Utility Room","Underground Utility Room: Objective #1","1","00:21:45","00:25:52",
Bot95,"Вениамин Ёжиков",34,Failed,"Boss Hunter","Spawn Point (137.6 14.1 61.8)","1","00:25:57","00:34:31",
Bot95,"Вениамин Ёжиков",34,Failed,"Boss Hunter","Spawn Point (177.6 17.0 -4.1)","1","00:29:11","00:34:31",
Bot95,"Вениамин Ёжиков",34,Completed,"Boss Hunter","Spawn Point (139.3 14.1 65.6)","1","00:29:59","00:32:40",
Bot95,"Вениамин Ёжиков",34,Failed,"Boss Hunter","Spawn Point (104.5 33.4 107.5)","1","00:32:45","00:34:31",
Bot94,"Фома Милютин",24,Completed,"Boss Hunter","Spawn Point (176.3 17.0 10.2)","1","00:21:45","00:22:26",
Bot94,"Фома Милютин",24,Completed,"Boss Hunter","Spawn Point (122.4 22.8 -4.2)","1","00:22:32","00:23:29",
Bot94,"Фома Милютин",24,Failed,"Boss Hunter","Spawn Point (175.1 17.0 2.2)","1","00:23:34","00:23:50",
Bot96,"Степан Аспидов",3,Failed,"Skyside Hotel Outside","Skyside Hotel Outside: Objective #1","1","00:21:45","00:26:10",
Bot96,"Степан Аспидов",3,Failed,"Skyside Hotel Outside","Skyside Hotel Outside: Objective #2","1","00:24:12","00:26:10",
Bot96,"Степан Аспидов",3,Failed,"Skyside Hotel Outside","Skyside Hotel Outside: Objective #3","1","00:24:34","00:26:10",
Bot96,"Степан Аспидов",3,Failed,"Luxurious Life","Item Bottle of Le Jean wine","1","00:24:54","00:26:10",
Bot98,"Tyree Tovar",12,Completed,"Shooting Cans","Zone Sandbox_2_AGS_exploration","1","00:21:45","00:27:35",
Bot98,"Tyree Tovar",12,Failed,"Shooting Cans","Zone Sandbox_2_Kord_exploration","1","00:27:40","00:30:42",
Bot97,"Гордей Пушкин",36,Completed,"Saving the Mole","Zone Sandbox_5_Laborant_exploration","1","00:21:46","00:21:51",
Bot97,"Гордей Пушкин",36,Completed,"Saving the Mole","Zone Sandbox_5_Office_exploration","1","00:21:56","00:22:49",
Bot97,"Гордей Пушкин",36,Failed,"Saving the Mole","Zone Sandbox_5_DeadGroup_exploration","1","00:22:54","00:28:10",
Bot99,"Zack Coffee",14,Failed,"Shooting Cans","Zone Sandbox_2_Kord_exploration","1","00:21:46","00:25:11",
Bot106,"Спиридон Танков",23,Completed,"Shooting Cans","Zone Sandbox_2_AGS_exploration","1","00:22:00","00:22:03",
Bot106,"Спиридон Танков",23,Failed,"Shooting Cans","Zone Sandbox_2_Kord_exploration","1","00:22:08","00:30:23",
Bot107,"Ярослав Хармац",30,Completed,"Safe outside of Giovanni Teducci","Safe outside of Giovanni Teducci: Objective #1","1","00:22:00","00:32:24",
Bot107,"Ярослав Хармац",30,Completed,"Shooting Cans","Zone Sandbox_2_AGS_exploration","1","00:32:29","00:33:17",
Bot107,"Ярослав Хармац",30,Pending,"Shooting Cans","Zone Sandbox_2_Kord_exploration","1","00:33:22","N/A",
Bot107,"Ярослав Хармац",30,Completed,"Capital Insight Quest Room Camping","Capital Insight Quest Room Camping: Objective #1","2","00:38:54","00:40:39",
Bot107,"Ярослав Хармац",30,Active,"Capital Insight Sniping","Capital Insight Sniping: Objective #2","2","00:40:44","N/A",
