Bot Name,Bot Nickname,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot120,"Захар Путилин",40,Failed,"Holding Area Patrol","Holding Area Patrol: Objective #1","1","21:14:21","21:15:46",
Bot118,"Тарас Лобачевский",43,Pending,"Spawn Rush","Spawn Rush: Objective #1","1","21:14:22","N/A",
Bot119,"Pierre Monarrez",42,Failed,"Crates Outside of Scav Bunker","Crates Outside of Scav Bunker: Objective #1","1","21:14:22","21:15:11",
Bot121,"Damien Tunney",44,Failed,"Crates Outside of Scav Bunker","Crates Outside of Scav Bunker: Objective #1","1","21:14:22","21:17:10",
Bot122,"Zachariah Norsworthy",36,Failed,"Crates Near Lower Platform","Crates Near Lower Platform: Objective #1","1","21:14:22","21:16:26",
Bot134,"Борис Гашеный (Bob)",1,Pending,"Weapon Crate Outside of Forklift","Weapon Crate Outside of Forklift: Objective #1","1","21:18:13","N/A",
