Bot Name,Bot Nickname,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot11,"Степан Куклачёв",45,Failed,"Weapon Crate Outside of Forklift","Weapon Crate Outside of Forklift: Objective #1","1","20:58:27","20:58:33",
Bot12,"Nick Logsdon",35,Active,"Spawn Rush","Spawn Rush: Objective #1","1","20:58:27","N/A",
Bot14,"Royal Dubuc",35,Completed,"Weapon Crate Outside of Forklift","Weapon Crate Outside of Forklift: Objective #1","1","20:58:27","20:59:04",
Bot14,"Royal Dubuc",35,Active,"Pumping Station Roof","Pumping Station Roof: Objective #1","2","20:59:09","N/A",
