Bot Name,Bot Nickname,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot2,"Pedro Madruga",53,Completed,"Break Room","Break Room: Objective #1","1","20:05:13","20:05:21",
Bot2,"Pedro Madruga",53,Failed,"1st Floor Office","1st Floor Office: Objective #1","1","20:05:26","20:08:30",
Bot3,"Jean Parish",26,Failed,"Chemical - Part 3","Item Syringe with a chemical","1","20:05:14","20:08:11",
Bot4,"Gage Garnes",20,Failed,"Farming - Part 1","Zone place_SADOVOD_01_2","1","20:05:14","20:09:14",
Bot1,"Аристарх Талалихин",16,Failed,"Spawn Rush","Spawn Rush: Objective #1","1","20:05:14","20:06:44",
Bot5,"George Furman",40,Completed,"Crates Near Lower Platform","Crates Near Lower Platform: Objective #1","2","20:05:14","20:14:11",
Bot5,"George Furman",40,Completed,"1st Floor Office","1st Floor Office: Objective #2","1","20:14:16","20:14:23",
Bot5,"George Furman",40,Active,"1st Floor Office","1st Floor Office: Objective #1","2","20:14:28","N/A",
Bot6,"Randolph Wilk",37,Failed,"3rd Floor Office Rush","3rd Floor Office Rush: Objective #2","1","20:05:14","20:06:19",
Bot17,"Мирон Сабанцев",40,Failed,"3rd Floor Office Rush","3rd Floor Office Rush: Objective #1","1","20:08:27","20:12:08",
Bot20,"Изя Каша (Coleman)",1,Failed,"Crates Outside of Stairwell","Crates Outside of Stairwell: Objective #1","1","20:09:57","20:10:08",
Bot26,"Филат Дудин",12,Failed,"Postman Pat - Part 1","Item Sealed letter","1","20:11:34","20:15:52",
Bot29,"Ашот Сынуля (Reese)",1,Pending,"Med Tent","Med Tent: Objective #1","2","20:12:34","N/A",
Bot33,"Авксентий Дерзкий (Сильвестр)",1,Pending,"Med Tent","Med Tent: Objective #1","2","20:15:04","N/A",
