Bot Name,Bot Nickname,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot174,"Bryan Westley",29,Completed,"Anesthesia","Zone prapor_022_area_2","1","23:20:22","23:20:59",
Bot174,"Bryan Westley",29,Completed,"Anesthesia","Zone prapor_022_area_1","1","23:21:05","23:24:12",
Bot174,"Bryan Westley",29,Failed,"Anesthesia","Zone prapor_022_area_3","1","23:24:17","23:25:29",
Bot176,"Ronnie Ricks",68,Failed,"Sanitar's House","Sanitar's House: Objective #1","1","23:20:22","23:22:09",
Bot176,"Ronnie Ricks",68,Failed,"Boss Hunter","Spawn Point (-96.8 -41.0 211.6)","1","23:22:14","23:25:26",
Bot176,"Ronnie Ricks",68,Failed,"Boss Hunter","Spawn Point (-106.0 -40.1 245.0)","1","23:22:52","23:25:26",
Bot178,"Chong Dewey",61,Completed,"Boss Hunter","Spawn Point (-96.8 -41.0 211.6)","1","23:20:22","23:27:37",
Bot178,"Chong Dewey",61,Failed,"Boss Hunter","Spawn Point (-220.9 -29.8 189.5)","1","23:27:43","23:30:45",
Bot178,"Chong Dewey",61,Completed,"Boss Hunter","Spawn Point (-106.0 -40.1 245.0)","1","23:30:50","23:31:32",
Bot178,"Chong Dewey",61,Completed,"Boss Hunter","Spawn Point (-232.7 -29.8 193.0)","1","23:31:38","23:32:21",
Bot178,"Chong Dewey",61,Active,"Boss Hunter","Spawn Point (-87.9 -42.4 272.3)","1","23:32:26","N/A",
Bot175,"Савелий Резнов",30,Completed,"Signal - Part 3","Zone place_SIGNAL_03_3","1","23:20:22","23:20:59",
Bot175,"Савелий Резнов",30,Failed,"Signal - Part 3","Zone place_SIGNAL_03_1","1","23:21:04","23:22:39",
Bot180,"Darrell Ocasio",37,Completed,"Rigged Game","Zone skier_022_area_3","2","23:20:22","23:20:46",
Bot180,"Darrell Ocasio",37,Failed,"Rigged Game","Zone skier_022_area_2","1","23:20:51","23:26:15",
Bot177,"Elliott Louie",37,Failed,"Colleagues - Part 2","Item Marked Ophthalmoscope","1","23:20:22","23:25:43",
Bot179,"Пётр Носов",59,Completed,"Boss Hunter","Spawn Point (-153.3 -4.9 -269.4)","1","23:20:23","23:21:00",
Bot179,"Пётр Носов",59,Completed,"Boss Hunter","Spawn Point (-197.6 -5.1 -169.9)","1","23:21:05","23:22:10",
Bot179,"Пётр Носов",59,Completed,"Boss Hunter","Spawn Point (-171.0 -5.1 -129.3)","1","23:22:15","23:22:26",
Bot179,"Пётр Носов",59,Completed,"Boss Hunter","Spawn Point (-234.6 -5.2 -174.9)","1","23:22:31","23:23:21",
Bot179,"Пётр Носов",59,Completed,"Boss Hunter","Spawn Point (-195.0 -5.2 -113.7)","1","23:23:26","23:24:04",
Bot179,"Пётр Носов",59,Completed,"Boss Hunter","Spawn Point (-146.1 -3.6 -82.6)","1","23:24:09","23:24:33",
Bot179,"Пётр Носов",59,Completed,"Boss Hunter","Spawn Point (-151.9 -4.9 -268.6)","1","23:24:39","23:26:04",
Bot179,"Пётр Носов",59,Completed,"Lookout","Lookout: Objective #1","1","23:26:09","23:26:36",
Bot179,"Пётр Носов",59,Completed,"Resort West Wing Basement","Resort West Wing Basement: Objective #1","1","23:26:41","23:27:43",
Bot179,"Пётр Носов",59,Failed,"Resort West Wing 2nd Floor","Resort West Wing 2nd Floor: Objective #6","1","23:27:48","23:27:55",
Bot179,"Пётр Носов",59,Completed,"Resort West Wing 2nd Floor","Resort West Wing 2nd Floor: Objective #7","1","23:28:00","23:28:01",
Bot179,"Пётр Носов",59,Completed,"Resort West Wing 2nd Floor","Resort West Wing 2nd Floor: Objective #3","1","23:28:07","23:29:14",
Bot179,"Пётр Носов",59,Completed,"Resort West Wing 2nd Floor","Resort West Wing 2nd Floor: Objective #2","1","23:29:19","23:31:22",
Bot179,"Пётр Носов",59,Completed,"Resort West Wing 2nd Floor","Resort West Wing 2nd Floor: Objective #4","1","23:31:27","23:31:34",
Bot179,"Пётр Носов",59,Completed,"Resort West Wing 2nd Floor","Resort West Wing 2nd Floor: Objective #5","1","23:31:39","23:31:39",
Bot179,"Пётр Носов",59,Active,"Resort West Wing 2nd Floor","Resort West Wing 2nd Floor: Objective #1","1","23:31:44","N/A",
Bot183,"Виталлий Косоруков",25,Failed,"Signal - Part 3","Zone place_SIGNAL_03_2","1","23:20:27","23:20:51",
Bot183,"Виталлий Косоруков",25,Failed,"Signal - Part 3","Zone place_SIGNAL_03_1","1","23:20:56","23:25:58",
Bot184,"Карл Левкин",17,Pending,"The Cult - Part 1","Zone place_peacemaker_007_1_N1","1","23:20:29","N/A",
Bot184,"Карл Левкин",17,Completed,"Nothing Fishy About This","Zone q14_11_jeep","1","23:22:08","23:23:04",
Bot184,"Карл Левкин",17,Failed,"Spa Tour - Part 4","Zone place_peacemaker_008_4_N2","1","23:23:09","23:26:31",
Bot184,"Карл Левкин",17,Completed,"Spa Tour - Part 4","Zone place_peacemaker_008_4_N1","1","23:26:36","23:28:25",
Bot184,"Карл Левкин",17,Active,"Eagle Eye","Zone place_peacemaker_004_N1","1","23:28:30","N/A",
