Bot Name,Bot Nickname,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot260,"Grady Ridenhour",45,Pending,"Big Red Rush","Big Red Rush: Objective #1","1","22:36:40","N/A",
Bot262,"Emery Rhine",17,Pending,"Golden Swag","Zone extraction_zone_zibbo","1","22:36:40","N/A",
Bot261,"Игнат Камкин",38,Failed,"Big Red Rush","Big Red Rush: Objective #1","1","22:36:40","22:38:31",
Bot264,"Самуил Митрофанов",62,Pending,"Dorms 3 Story Rush","Dorms 3 Story Rush: Objective #1","1","22:36:40","N/A",
Bot265,"Альберт Гурьянов",60,Failed,"The Courier","Zone mech_41_2","1","22:36:40","22:42:58",
Bot263,"Ипполит Молчанов",40,Pending,"The Cult - Part 2","Zone place_peacemaker_007_N1","1","22:36:41","N/A",
Bot271,"Chester Stansberry",35,Pending,"Short Cut","Short Cut: Objective #1","1","22:36:49","N/A",
Bot273,"Osvaldo Near",25,Pending,"Tigr Safari","Zone place_peacemaker_002_N3","1","22:36:51","N/A",
Bot295,"Кондратий Топор (Ned)",1,Failed,"Dorms 2 Story","Dorms 2 Story: Objective #2","1","22:45:00","22:49:10",
Bot301,"Илюша Чебур (Elton)",1,Pending,"Dorms 3 Story","Dorms 3 Story: Objective #4","1","22:45:59","N/A",
Bot303,"Толян Крутой (Tyler)",1,Pending,"Warehouse 4","Warehouse 4: Objective #3","1","22:46:40","N/A",
Bot315,"Толян Никулин (Albert)",1,Pending,"RUAF Checkpoint","RUAF Checkpoint: Objective #1","1","22:49:00","N/A",
Bot316,"Донатий Спартаковский (Emile)",1,Pending,"Fortress","Fortress: Objective #9","1","22:49:01","N/A",
