Bot Name,Bot Nickname,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot35,"Тимофей Носов",41,Pending,"Pest Control","Zone eger_barracks_area_2","1","15:02:39","N/A",
Bot35,"Тимофей Носов",41,Failed,"Pest Control","Zone eger_barracks_area_1","1","15:04:23","15:04:24",
Bot35,"Тимофей Носов",41,Pending,"Documents","Item Military documents #1","1","15:04:29","N/A",
Bot35,"Тимофей Носов",41,Completed,"Documents","Item Military documents #2","1","15:06:25","15:06:52",
Bot35,"Тимофей Носов",41,Active,"Documents","Item Military documents #3","1","15:06:57","N/A",
Bot38,"Charley Lash",38,Completed,"Pest Control","Zone eger_barracks_area_1","1","15:02:39","15:03:15",
Bot38,"Charley Lash",38,Failed,"Pest Control","Zone eger_barracks_area_2","1","15:03:20","15:05:39",
Bot38,"Charley Lash",38,Failed,"Command Center Rush","Command Center Rush: Objective #2","1","15:05:18","15:05:39",
Bot36,"Alphonse Swofford",25,Active,"Inventory Check","Zone baraholshik_arsenal_area_3","1","15:02:39","N/A",
Bot37,"Осип Косков",41,Failed,"Pest Control","Zone eger_barracks_area_1","1","15:02:39","15:06:59",
Bot37,"Осип Косков",41,Failed,"Pest Control","Zone eger_barracks_area_2","1","15:05:19","15:06:59",
Bot39,"Judson Cothern",53,Completed,"Boss Hunter","Spawn Point (141.0 -6.5 -223.1)","1","15:02:39","15:03:04",
Bot39,"Judson Cothern",53,Completed,"Boss Hunter","Spawn Point (216.7 -6.9 -176.9)","1","15:03:09","15:03:55",
Bot39,"Judson Cothern",53,Completed,"Boss Hunter","Spawn Point (225.1 -6.8 -123.0)","1","15:04:00","15:04:41",
Bot39,"Judson Cothern",53,Completed,"Boss Hunter","Spawn Point (243.1 -7.1 -88.1)","1","15:04:47","15:05:07",
Bot39,"Judson Cothern",53,Completed,"Boss Hunter","Spawn Point (217.3 -6.9 -172.0)","1","15:05:13","15:05:41",
Bot39,"Judson Cothern",53,Completed,"Boss Hunter","Spawn Point (230.4 -6.8 -117.5)","1","15:05:46","15:06:12",
Bot39,"Judson Cothern",53,Completed,"Boss Hunter","Spawn Point (219.2 -6.9 -174.0)","1","15:06:17","15:06:59",
Bot39,"Judson Cothern",53,Active,"Boss Hunter","Spawn Point (146.0 -6.8 -230.5)","1","15:07:04","N/A",
Bot40,"Sang Roe",59,Pending,"Boss Hunter","Spawn Point (141.0 -6.5 -223.1)","1","15:02:39","N/A",
Bot45,"Афанасий Перевёртов",38,Failed,"Snatch","Zone tadeush_bmp2_area_mark_12","1","15:02:47","15:03:18",
Bot45,"Афанасий Перевёртов",38,Completed,"Sewer Manhole Building","Sewer Manhole Building: Objective #2","1","15:03:19","15:03:35",
Bot45,"Афанасий Перевёртов",38,Completed,"Sewer Manhole Building","Sewer Manhole Building: Objective #1","1","15:03:40","15:03:59",
Bot45,"Афанасий Перевёртов",38,Pending,"Snatch","Item Lightkeeper intelligence","1","15:04:04","N/A",
Bot45,"Афанасий Перевёртов",38,Completed,"Knight Garages","Knight Garages: Objective #1","1","15:05:41","15:05:47",
Bot45,"Афанасий Перевёртов",38,Completed,"Knight Garages","Knight Garages: Objective #2","1","15:05:52","15:06:06",
Bot45,"Афанасий Перевёртов",38,Active,"Hermetic Depot","Hermetic Depot: Objective #5","1","15:06:12","N/A",
Bot46,"Emmitt Dambrosio",39,Active,"Reserve","Zone huntsman_029","1","15:02:50","N/A",
