Bot Name,Bot Nickname,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot230,"Porter Bowe",13,Failed,"Command Center Rush","Command Center Rush: Objective #2","1","23:44:00","23:48:53",
Bot231,"Тихон Курочкин",40,Completed,"Pest Control","Zone eger_barracks_area_1","1","23:44:00","23:44:22",
Bot231,"Тихон Курочкин",40,Completed,"Pest Control","Zone eger_barracks_area_2","1","23:44:27","23:44:45",
Bot231,"Тихон Курочкин",40,Failed,"Command Center Rush","Command Center Rush: Objective #2","1","23:44:50","23:50:25",
Bot231,"Тихон Курочкин",40,Failed,"Command Center Rush","Command Center Rush: Objective #1","1","23:45:41","23:50:25",
Bot232,"Danial Coello",45,Failed,"Pest Control","Zone eger_barracks_area_1","1","23:44:01","23:49:57",
Bot234,"Miguel Loewen",51,Failed,"Boss Hunter","Spawn Point (-104.2 -14.5 33.8)","1","23:44:01","23:50:38",
Bot233,"Johnny Vogelsang",27,Completed,"Documents","Item Military documents #2","1","23:44:01","23:44:14",
Bot233,"Johnny Vogelsang",27,Failed,"Documents","Item Military documents #3","1","23:44:19","23:51:10",
Bot235,"Тихон Медников",30,Completed,"Sewer Manhole Building","Sewer Manhole Building: Objective #1","1","23:44:01","23:44:21",
Bot235,"Тихон Медников",30,Completed,"Sewer Manhole Building","Sewer Manhole Building: Objective #2","1","23:44:26","23:55:09",
Bot235,"Тихон Медников",30,Failed,"Revision - Reserve","Zone tadeush_bmp2_area_mark_12","1","23:55:14","23:55:46",
Bot235,"Тихон Медников",30,Pending,"Revision - Reserve","Zone tadeush_bmp2_area_check_12","1","23:55:51","N/A",
Bot236,"Игорь Шеляпин",40,Failed,"Snatch","Item Lightkeeper intelligence","1","23:44:01","23:55:31",
Bot236,"Игорь Шеляпин",40,Active,"Snatch","Zone tadeush_bmp2_area_mark_12","1","23:55:36","N/A",
Bot241,"Gail Finke",35,Failed,"Snatch","Zone tadeush_bmp2_area_mark_12","1","23:44:10","23:44:41",
Bot241,"Gail Finke",35,Pending,"A Fuel Matter","Zone baraholshik_fuel_area_2","1","23:44:42","N/A",
Bot241,"Gail Finke",35,Active,"A Fuel Matter","Zone baraholshik_fuel_area_3","1","23:46:31","N/A",
Bot270,"Юрец Вереск (Charles)",1,Completed,"White Pawn","White Pawn: Objective #3","1","23:53:33","23:53:38",
