Bot Name,Bot Nickname,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot297,"Sonny Bloomquist",36,Failed,"Stairs Near Tartowers","Stairs Near Tartowers: Objective #1","1","02:59:28","03:03:39",
Bot296,"Аристарх Алистратов",25,Failed,"First in Line","Zone Sandbox_1_MedicalArea_exploration","1","02:59:28","03:01:02",
Bot298,"Максим Карандашов",43,Failed,"Shooting Cans","Zone Sandbox_2_AGS_exploration","1","02:59:28","03:08:36",
Bot299,"Arden Dancer",32,Failed,"Kyshperski","Kyshperski: Objective #1","1","02:59:28","03:03:41",
Bot300,"Степан Сапогов",25,Failed,"First in Line","Zone Sandbox_1_MedicalArea_exploration","1","02:59:28","03:08:23",
Bot301,"Максим Дмитриев",17,Pending,"First in Line","Zone Sandbox_1_MedicalArea_exploration","1","02:59:28","N/A",
Bot305,"Sal Vaca",59,Failed,"Olive Restaurant","Olive Restaurant: Objective #3","1","02:59:49","03:00:13",
