Bot Name,Bot Nickname,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot38,"Пахом Огородников",35,Completed,"Break Room","Break Room: Objective #1","1","17:27:06","17:27:16",
Bot38,"Пахом Огородников",35,Completed,"3rd Floor Bridge","3rd Floor Bridge: Objective #1","2","17:27:21","17:30:58",
Bot38,"Пахом Огородников",35,Active,"Weapon Crates outside Office","Weapon Crates outside Office: Objective #1","1","17:31:04","N/A",
Bot39,"Jules Urrutia",18,Completed,"Scout","Zone place_pacemaker_SCOUT_01","1","17:27:06","17:27:18",
Bot39,"Jules Urrutia",18,Completed,"Scout","Zone place_pacemaker_SCOUT_04","1","17:27:23","17:29:40",
Bot39,"Jules Urrutia",18,Pending,"Scout","Zone place_pacemaker_SCOUT_02","1","17:29:45","N/A",
Bot40,"Dudley Mcpeek",21,Failed,"Scout","Zone place_pacemaker_SCOUT_01","1","17:27:06","17:30:00",
Bot41,"Лаврентий Трутнев",62,Failed,"1st Floor Office","1st Floor Office: Objective #2","1","17:27:06","17:27:14",
Bot45,"Cody Yee",44,Failed,"Gate 0","Gate 0: Objective #1","2","17:27:07","17:27:45",
Bot45,"Cody Yee",44,Failed,"Crates Near Lower Platform","Crates Near Lower Platform: Objective #1","1","17:27:45","17:27:52",
Bot44,"Bart Neff",42,Failed,"Crates Near Lower Platform","Crates Near Lower Platform: Objective #1","1","17:27:07","17:27:44",
