Bot Name,Bot Nickname,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot31,"Наум Хорьков",24,Active,"First in Line","Zone Sandbox_1_MedicalArea_exploration","1","23:53:14","N/A",
Bot33,"Liam Skelly",41,Completed,"Saving the Mole","Zone Sandbox_5_Office_exploration","1","23:53:14","23:55:08",
Bot33,"Liam Skelly",41,Active,"Saving the Mole","Zone Sandbox_5_Laborant_exploration","1","23:55:13","N/A",
Bot34,"Chi Herndon",42,Pending,"Boss Hunter","Spawn Point (37.0 23.5 147.0)","1","23:53:14","N/A",
Bot32,"Vincent Schirmer",29,Completed,"Skyside Hotel","Skyside Hotel: Objective #2","1","23:53:14","23:54:56",
Bot32,"Vincent Schirmer",29,Completed,"Skyside Hotel","Skyside Hotel: Objective #1","1","23:55:01","23:55:16",
Bot32,"Vincent Schirmer",29,Active,"Skyside Hotel","Skyside Hotel: Objective #3","1","23:55:21","N/A",
Bot30,"Евгений Саврасов",21,Active,"Boss Hunter","Spawn Point (-4.5 23.9 -58.9)","1","23:53:15","N/A",
Bot36,"Назар Огиевич",19,Active,"Shooting Cans","Zone Sandbox_2_Kord_exploration","1","23:53:18","N/A",
