Bot Name,Bot Nickname,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot32,"Clemente Bobbitt",40,Pending,"Broadcast - Part 3","Zone quest_zone_c25_cinem2","1","18:08:26","N/A",
Bot31,"Rodolfo Lamanna",58,Pending,"Information Source","Zone quest_zone_place_c24_tigr1","1","18:08:26","N/A",
Bot34,"Михей Шведов",17,Pending,"The Door","Zone quest_zone_hide_sillent","1","18:08:26","N/A",
Bot30,"Melvin Tacker",49,Pending,"Broadcast - Part 4","Zone quest_zone_c27_sect","1","18:08:26","N/A",
Bot33,"Иосиф Фонвизин",40,Failed,"Broadcast - Part 5","Zone quest_zone_hide_2st_mech","1","18:08:26","18:10:00",
Bot35,"Perry Padula",36,Pending,"House Arrest - Part 2","Zone quest_zone_c8_dom2_dead","1","18:08:26","N/A",
Bot39,"Scottie Islam",46,Pending,"Pyramid Scheme","Zone Bank_points_6","1","18:09:03","N/A",
Bot40,"James Hurwitz",43,Pending,"Pyramid Scheme","Zone Bank_points_6","1","18:09:03","N/A",
