Bot Name,Bot Nickname,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot199,"Nathan Muldowney",67,Failed,"Railway Area","Railway Area: Objective #2","1","22:14:24","22:18:18",
Bot198,"Clair Shore",35,Failed,"Railway Area","Railway Area: Objective #2","1","22:14:24","22:17:48",
Bot200,"Иннокентий Тарасов",34,Failed,"Big Sale","Zone place_SALE_03_TREND","1","22:14:24","22:16:19",
Bot201,"Ezra Woolery",38,Failed,"Provocation","Zone quest_zone_keeper6_kiba_kill","1","22:14:24","22:21:16",
Bot203,"Андрей Трофимов",54,Pending,"Emercom Tank","Emercom Tank: Objective #1","1","22:14:24","N/A",
Bot202,"Toby Cusack",39,Failed,"Provocation","Zone quest_zone_keeper6_safe_hide","1","22:14:24","22:16:10",
Bot209,"Игнат Можаев",40,Failed,"Hot Delivery","Zone place_merch_020_2","1","22:14:38","22:14:40",
Bot211,"Павел Булыгин",64,Pending,"Provocation","Zone quest_zone_keeper6_cont_hide","1","22:14:48","N/A",
Bot240,"Филат Упругий (Дмитрий)",1,Pending,"Generic","Generic: Objective #3","1","22:20:34","N/A",
Bot251,"Коля Горелый (Everette)",1,Failed,"Railway Stashes","Railway Stashes: Objective #5","1","22:23:08","22:24:34",
Bot255,"Паисий Рыжий (Nigel)",1,Pending,"OLI NW Office","OLI NW Office: Objective #1","1","22:23:50","N/A",
