Bot Name,Bot Nickname,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot104,"Cyrus Ledford",24,Failed,"Steady Signal","Zone q14_8_5","1","18:42:13","18:46:18",
Bot105,"Leo Cuffee",37,Failed,"The Cult - Part 2","Zone place_peacemaker_007_2_N2","1","18:42:13","19:16:47",
Bot103,"Макар Алистратов",44,Failed,"Assessment - Part 2","Zone meh_45_radio_area_mark_2","1","18:42:13","18:48:14",
Bot106,"Ипполит Букин",42,Failed,"Return the Favor","Zone place_keeper5_1","1","18:42:13","18:45:45",
Bot109,"Lazaro Ducote",40,Failed,"Boss Hunter","Spawn Point (281.7 8.2 -668.6)","1","18:42:19","18:47:03",
Bot110,"Роман Соловьёв",35,Failed,"Assessment - Part 2","Zone meh_45_radio_area_mark_4","1","18:42:22","18:47:48",
Bot111,"Josiah Dorn",45,Failed,"The Blood of War - Part 3","Zone bar_fuel3_2","1","18:42:22","18:49:56",
Bot113,"Lance Sabala",45,Failed,"Assessment - Part 2","Zone meh_45_radio_area_mark_2","1","18:42:23","18:44:05",
Bot115,"Rodolfo Semmes",63,Pending,"Sunken Village","Sunken Village: Objective #2","1","18:42:31","N/A",
