Bot Name,Bot Nickname,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot87,"Odell Poisson",36,Pending,"Boss Hunter","Spawn Point (5.8 1.2 -103.4)","1","21:00:29","N/A",
Bot85,"Остап Черепанов",30,Pending,"Bullshit","Item Flash drive with fake info","1","21:00:29","N/A",
Bot88,"Arnoldo Mcgregor",49,Pending,"Dorms Camp 2","Dorms Camp 2: Objective #1","1","21:00:29","N/A",
Bot86,"Dominick Oden",32,Failed,"Storage","Storage: Objective #7","1","21:00:29","21:04:52",
Bot89,"Heriberto Henton",39,Failed,"The Cult - Part 2","Zone place_peacemaker_007_N1","1","21:00:29","21:02:13",
Bot98,"Haywood Ried",70,Pending,"The Courier","Zone mech_41_2","1","21:00:58","N/A",
Bot102,"Dallas Shinkle",47,Pending,"Antenna","Antenna: Objective #1","1","21:01:02","N/A",
Bot116,"Даня Сильвестр (Darrel)",1,Pending,"Storage Building","Storage Building: Objective #1","1","21:09:00","N/A",
