Bot Name,Bot Nickname,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot221,"Leo Woosley",13,Failed,"Command Center Rush","Command Center Rush: Objective #2","1","14:09:26","14:10:58",
Bot223,"Сильвестр Косарин",41,Failed,"D2 Area","D2 Area: Objective #1","1","14:09:26","14:10:17",
Bot224,"Илья Вольваков",57,Failed,"Dome Upper Sniping","Dome Upper Sniping: Objective #2","1","14:09:26","14:13:25",
Bot224,"Илья Вольваков",57,Failed,"Dome Upper Sniping","Dome Upper Sniping: Objective #1","2","14:10:49","14:13:25",
Bot224,"Илья Вольваков",57,Failed,"Dome Upper Sniping","Dome Upper Sniping: Objective #3","1","14:11:45","14:13:25",
Bot224,"Илья Вольваков",57,Failed,"Sewer Manhole Building","Sewer Manhole Building: Objective #1","1","14:12:12","14:13:25",
Bot222,"Donny Zarate",56,Pending,"Dome Upper Sniping","Dome Upper Sniping: Objective #3","1","14:09:26","N/A",
Bot222,"Donny Zarate",56,Pending,"Dome Upper Sniping","Dome Upper Sniping: Objective #1","1","14:11:10","N/A",
Bot222,"Donny Zarate",56,Active,"Dome Upper Sniping","Dome Upper Sniping: Objective #2","1","14:12:56","N/A",
Bot225,"Артемий Чубаров",13,Completed,"NW Bunkers","NW Bunkers: Objective #5","1","14:09:27","14:09:37",
Bot225,"Артемий Чубаров",13,Active,"NW Bunkers","NW Bunkers: Objective #4","1","14:09:42","N/A",
Bot226,"Кондратий Евтушенков",36,Pending,"Boss Hunter","Spawn Point (243.1 -7.1 -88.1)","1","14:09:27","N/A",
Bot230,"Bryce Hottinger",36,Completed,"Documents","Item Military documents #2","1","14:09:32","14:09:52",
Bot230,"Bryce Hottinger",36,Completed,"Documents","Item Military documents #3","1","14:09:57","14:11:55",
Bot230,"Bryce Hottinger",36,Failed,"D2 Switch","D2 Switch: Objective #1","1","14:12:00","14:12:24",
Bot235,"Quentin Galvan",26,Completed,"Boss Hunter","Spawn Point (137.2 -6.5 -232.0)","1","14:09:45","14:10:00",
Bot235,"Quentin Galvan",26,Completed,"Boss Hunter","Spawn Point (216.7 -6.9 -176.9)","1","14:10:05","14:11:09",
Bot235,"Quentin Galvan",26,Completed,"Boss Hunter","Spawn Point (225.1 -6.8 -123.0)","1","14:11:14","14:11:40",
Bot235,"Quentin Galvan",26,Completed,"Boss Hunter","Spawn Point (217.3 -6.9 -172.0)","1","14:11:46","14:11:57",
Bot235,"Quentin Galvan",26,Completed,"Boss Hunter","Spawn Point (230.4 -6.8 -117.5)","1","14:12:02","14:12:16",
Bot235,"Quentin Galvan",26,Completed,"Boss Hunter","Spawn Point (219.2 -6.9 -174.0)","1","14:12:21","14:12:34",
Bot235,"Quentin Galvan",26,Completed,"Boss Hunter","Spawn Point (240.9 -7.1 -94.9)","1","14:12:39","14:12:59",
Bot235,"Quentin Galvan",26,Active,"Boss Hunter","Spawn Point (218.0 -6.9 -175.7)","1","14:13:04","N/A",
