Bot Name,Bot Nickname,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot2,"Terence Frei",36,Completed,"Bathroom Key Spawns","Bathroom Key Spawns: Objective #2","1","19:03:51","19:05:59",
Bot2,"Terence Frei",36,Failed,"1st Floor Office","1st Floor Office: Objective #2","1","19:06:04","19:08:24",
Bot1,"Coleman Gilmer",19,Failed,"1st Floor Office","1st Floor Office: Objective #2","1","19:03:51","19:04:51",
Bot6,"Шура Неудачник (Matthew)",1,Failed,"Crates Outside of Stairwell","Crates Outside of Stairwell: Objective #1","1","19:03:53","19:04:02",
Bot10,"Терентий Кот (Ronny)",1,Failed,"3rd Floor Office","3rd Floor Office: Objective #1","1","19:04:24","19:04:30",
Bot21,"Mike Renaud",35,Pending,"Crates Near Lower Platform","Crates Near Lower Platform: Objective #1","1","19:08:31","N/A",
Bot20,"Rob Well",31,Failed,"Basement Crates","Basement Crates: Objective #1","1","19:08:31","19:12:20",
Bot25,"Пантелей Ульянов",51,Failed,"Gate 0","Gate 0: Objective #1","1","19:10:18","19:10:25",
Bot25,"Пантелей Ульянов",51,Failed,"Crates Near Lower Platform","Crates Near Lower Platform: Objective #1","1","19:10:25","19:12:54",
Bot26,"Всеволод Хребтов",68,Failed,"Crates Outside of Scav Bunker","Crates Outside of Scav Bunker: Objective #1","1","19:10:19","19:12:50",
Bot27,"Дэнчик Американец (Lamont)",1,Completed,"Basement Crates","Basement Crates: Objective #1","1","19:10:22","19:10:29",
Bot27,"Дэнчик Американец (Lamont)",1,Pending,"Basement Crates","Basement Crates: Objective #2","1","19:10:34","N/A",
Bot30,"Валя Мультик (Andreas)",1,Failed,"Crates Outside of Scav Bunker","Crates Outside of Scav Bunker: Objective #1","1","19:10:37","19:11:09",
Bot34,"Филат Сейсмолог (Donny)",1,Completed,"Basement Crates","Basement Crates: Objective #1","1","19:12:32","19:12:38",
Bot34,"Филат Сейсмолог (Donny)",1,Completed,"Basement Crates","Basement Crates: Objective #2","1","19:12:44","19:12:51",
Bot36,"Фёдор Мурзила (Edmundo)",1,Pending,"Med Tent","Med Tent: Objective #1","2","19:12:33","N/A",
Bot37,"Вадим Ковшутин",40,Failed,"3rd Floor Bridge","3rd Floor Bridge: Objective #1","1","19:13:14","19:13:43",
Bot39,"Sebastian Twedt",36,Pending,"Med Tent","Med Tent: Objective #1","1","19:13:22","N/A",
Bot40,"Domingo Sartin",20,Pending,"Basement Crates","Basement Crates: Objective #1","1","19:13:22","N/A",
Bot38,"Lino Halsey",67,Active,"Basement Crates","Basement Crates: Objective #1","1","19:13:22","N/A",
Bot41,"Andres Yeager",27,Failed,"Scout","Zone place_pacemaker_SCOUT_04","1","19:13:22","19:13:48",
Bot42,"Руся Ессентуки (Graig)",1,Active,"Basement Crates","Basement Crates: Objective #2","1","19:14:29","N/A",
Bot43,"Ботир Москва (Ali)",1,Pending,"Crates Near Lower Platform","Crates Near Lower Platform: Objective #1","1","19:14:29","N/A",
Bot44,"Петька Прыщь (Gerardo)",1,Completed,"Crates Near Lower Platform","Crates Near Lower Platform: Objective #1","1","19:14:30","19:14:39",
Bot45,"Слава Легаш (Лев)",1,Failed,"Med Tent","Med Tent: Objective #1","1","19:14:51","19:14:59",
