Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot4,"Sammie Pusey",normal,11,Failed,"Sanitary Standards - Part 1","Zone pumproom","1","06:11:43","06:11:49",
Bot4,"Sammie Pusey",normal,11,Failed,"Spawn Rush","Spawn Rush: Objective #1","1","06:11:54","06:12:33",
Bot2,"Jimmie Hockaday",normal,3,Active,"The Huntsman Path - Secured Perimeter","Zone huntsman_013","1","06:11:43","N/A",
Bot3,"Lee Cogdill",normal,7,Pending,"3rd Floor Office Rush","3rd Floor Office Rush: Objective #1","1","06:11:43","N/A",
Bot5,"Roosevelt Mcmeans",normal,13,Active,"Scout","Zone place_pacemaker_SCOUT_04","1","06:11:43","N/A",
Bot10,"Jared Lacross",normal,4,Pending,"Sanitary Standards - Part 1","Zone pumproom","1","06:11:59","N/A",
Bot9,"Marvin Fang",normal,12,Active,"Farming - Part 1","Zone place_SADOVOD_01_1","1","06:11:59","N/A",
