Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot16,"Randal Tedford",normal,4,Failed,"Spawn Rush","Spawn Rush: Objective #1","1","06:16:54","06:18:04",
Bot17,"Иннокентий Селиванов",normal,2,Failed,"Timmy's Forklift Hiding Spot","Timmy's Forklift Hiding Spot: Objective #1","1","06:16:54","06:17:07",
Bot15,"Евдоким Малышев",normal,9,Failed,"3rd Floor Office Rush","3rd Floor Office Rush: Objective #1","2","06:16:54","06:20:48",
Bot19,"Ипполит Калягин",normal,18,Failed,"Scout","Zone place_pacemaker_SCOUT_04","1","06:16:54","06:20:24",
Bot18,"Давид Парамонов",normal,13,Failed,"Sanitary Standards - Part 1","Zone pumproom","1","06:16:54","06:20:30",
Bot20,"Simon Shivers",normal,14,Active,"3rd Floor Office Rush","3rd Floor Office Rush: Objective #2","4","06:16:54","N/A",
